"Date","CUST","SKU","SALES","Forecast_Type"
2015-03-28,"7577","12GL",6,"ACTUAL"
2015-03-29,"7577","12GL",0,"ACTUAL"
2015-03-30,"7577","12GL",0,"ACTUAL"
2015-03-31,"7577","12GL",2,"ACTUAL"
2015-04-01,"7577","12GL",10,"ACTUAL"
2015-04-02,"7577","12GL",0,"ACTUAL"
2015-04-03,"7577","12GL",0,"ACTUAL"
2015-04-04,"7577","12GL",6,"ACTUAL"
2015-04-05,"7577","12GL",0,"ACTUAL"
2015-04-06,"7577","12GL",4,"ACTUAL"
2015-04-07,"7577","12GL",2,"ACTUAL"
2015-04-08,"7577","12GL",4,"ACTUAL"
2015-04-09,"7577","12GL",0,"ACTUAL"
2015-04-10,"7577","12GL",0,"ACTUAL"
2015-04-11,"7577","12GL",8,"ACTUAL"
2015-04-12,"7577","12GL",3,"ACTUAL"
2015-04-13,"7577","12GL",0,"ACTUAL"
2015-04-14,"7577","12GL",8,"ACTUAL"
2015-04-15,"7577","12GL",0,"ACTUAL"
2015-04-16,"7577","12GL",0,"ACTUAL"
2015-04-17,"7577","12GL",5,"ACTUAL"
2015-04-18,"7577","12GL",0,"ACTUAL"
2015-04-19,"7577","12GL",6,"ACTUAL"
2015-04-20,"7577","12GL",0,"ACTUAL"
2015-04-21,"7577","12GL",4,"ACTUAL"
2015-04-22,"7577","12GL",0,"ACTUAL"
2015-04-23,"7577","12GL",4,"ACTUAL"
2015-04-24,"7577","12GL",0,"ACTUAL"
2015-04-25,"7577","12GL",5,"ACTUAL"
2015-04-26,"7577","12GL",0,"ACTUAL"
2015-04-27,"7577","12GL",3,"ACTUAL"
2015-04-28,"7577","12GL",0,"ACTUAL"
2015-04-29,"7577","12GL",13,"ACTUAL"
2015-04-30,"7577","12GL",0,"ACTUAL"
2015-05-01,"7577","12GL",0,"ACTUAL"
2015-05-02,"7577","12GL",5,"ACTUAL"
2015-05-03,"7577","12GL",7,"ACTUAL"
2015-05-04,"7577","12GL",0,"ACTUAL"
2015-05-05,"7577","12GL",0,"ACTUAL"
2015-05-06,"7577","12GL",0,"ACTUAL"
2015-05-07,"7577","12GL",0,"ACTUAL"
2015-05-08,"7577","12GL",0,"ACTUAL"
2015-05-09,"7577","12GL",4,"ACTUAL"
2015-05-10,"7577","12GL",3,"ACTUAL"
2015-05-11,"7577","12GL",0,"ACTUAL"
2015-05-12,"7577","12GL",0,"ACTUAL"
2015-05-13,"7577","12GL",4,"ACTUAL"
2015-05-14,"7577","12GL",0,"ACTUAL"
2015-05-15,"7577","12GL",0,"ACTUAL"
2015-05-16,"7577","12GL",0,"ACTUAL"
2015-05-17,"7577","12GL",8,"ACTUAL"
2015-05-18,"7577","12GL",0,"ACTUAL"
2015-05-19,"7577","12GL",4,"ACTUAL"
2015-05-20,"7577","12GL",0,"ACTUAL"
2015-05-21,"7577","12GL",1,"ACTUAL"
2015-05-22,"7577","12GL",0,"ACTUAL"
2015-05-23,"7577","12GL",7,"ACTUAL"
2015-05-24,"7577","12GL",0,"ACTUAL"
2015-05-25,"7577","12GL",4,"ACTUAL"
2015-05-26,"7577","12GL",0,"ACTUAL"
2015-05-27,"7577","12GL",4,"ACTUAL"
2015-05-28,"7577","12GL",0,"ACTUAL"
2015-05-29,"7577","12GL",5,"ACTUAL"
2015-05-30,"7577","12GL",0,"ACTUAL"
2015-05-31,"7577","12GL",4,"ACTUAL"
2015-06-01,"7577","12GL",3,"ACTUAL"
2015-06-02,"7577","12GL",0,"ACTUAL"
