Date,CUST,SKU,SALES,Forecast_Type
2/5/2015,7577,12GL,0,ACTUAL
2/6/2015,7577,12GL,2,ACTUAL
2/7/2015,7577,12GL,1,ACTUAL
2/8/2015,7577,12GL,5,ACTUAL
2/9/2015,7577,12GL,0,ACTUAL
2/10/2015,7577,12GL,0,ACTUAL
2/11/2015,7577,12GL,4,ACTUAL
2/12/2015,7577,12GL,2,ACTUAL
2/13/2015,7577,12GL,6,ACTUAL
2/14/2015,7577,12GL,0,ACTUAL
2/15/2015,7577,12GL,8,ACTUAL
2/16/2015,7577,12GL,0,ACTUAL
2/17/2015,7577,12GL,4,ACTUAL
2/18/2015,7577,12GL,0,ACTUAL
2/19/2015,7577,12GL,0,ACTUAL
2/20/2015,7577,12GL,0,ACTUAL
2/21/2015,7577,12GL,8,ACTUAL
2/22/2015,7577,12GL,0,ACTUAL
2/23/2015,7577,12GL,11,ACTUAL
2/24/2015,7577,12GL,0,ACTUAL
2/25/2015,7577,12GL,11,ACTUAL
2/26/2015,7577,12GL,0,ACTUAL
2/27/2015,7577,12GL,1,ACTUAL
2/28/2015,7577,12GL,0,ACTUAL
3/1/2015,7577,12GL,0,ACTUAL
3/2/2015,7577,12GL,4,ACTUAL
3/3/2015,7577,12GL,6,ACTUAL
3/4/2015,7577,12GL,0,ACTUAL
3/5/2015,7577,12GL,0,ACTUAL
3/6/2015,7577,12GL,0,ACTUAL
3/7/2015,7577,12GL,0,ACTUAL
3/8/2015,7577,12GL,0,ACTUAL
3/9/2015,7577,12GL,0,ACTUAL
3/10/2015,7577,12GL,3,ACTUAL
3/11/2015,7577,12GL,0,ACTUAL
3/12/2015,7577,12GL,0,ACTUAL
3/13/2015,7577,12GL,2,ACTUAL
3/14/2015,7577,12GL,0,ACTUAL
3/15/2015,7577,12GL,9,ACTUAL
3/16/2015,7577,12GL,0,ACTUAL
3/17/2015,7577,12GL,7,ACTUAL
3/18/2015,7577,12GL,0,ACTUAL
3/19/2015,7577,12GL,5,ACTUAL
3/20/2015,7577,12GL,0,ACTUAL
3/21/2015,7577,12GL,8,ACTUAL
3/22/2015,7577,12GL,0,ACTUAL
3/23/2015,7577,12GL,4,ACTUAL
3/24/2015,7577,12GL,0,ACTUAL
3/25/2015,7577,12GL,6,ACTUAL
3/26/2015,7577,12GL,0,ACTUAL
3/27/2015,7577,12GL,0,ACTUAL
3/28/2015,7577,12GL,6,ACTUAL
3/29/2015,7577,12GL,0,ACTUAL
3/30/2015,7577,12GL,0,ACTUAL
3/31/2015,7577,12GL,2,ACTUAL
4/1/2015,7577,12GL,10,ACTUAL
4/2/2015,7577,12GL,0,ACTUAL
4/3/2015,7577,12GL,0,ACTUAL
4/4/2015,7577,12GL,6,ACTUAL
4/5/2015,7577,12GL,0,ACTUAL
4/6/2015,7577,12GL,4,ACTUAL
4/7/2015,7577,12GL,2,ACTUAL
4/8/2015,7577,12GL,4,ACTUAL
4/9/2015,7577,12GL,0,ACTUAL
4/10/2015,7577,12GL,0,ACTUAL
4/11/2015,7577,12GL,8,ACTUAL
4/12/2015,7577,12GL,3,ACTUAL
4/13/2015,7577,12GL,0,ACTUAL
4/14/2015,7577,12GL,8,ACTUAL
4/15/2015,7577,12GL,0,ACTUAL
4/16/2015,7577,12GL,0,ACTUAL
4/17/2015,7577,12GL,5,ACTUAL
4/18/2015,7577,12GL,0,ACTUAL
4/19/2015,7577,12GL,6,ACTUAL
4/20/2015,7577,12GL,0,ACTUAL
4/21/2015,7577,12GL,4,ACTUAL
4/22/2015,7577,12GL,0,ACTUAL
4/23/2015,7577,12GL,4,ACTUAL
4/24/2015,7577,12GL,0,ACTUAL
4/25/2015,7577,12GL,5,ACTUAL
4/26/2015,7577,12GL,0,ACTUAL
4/27/2015,7577,12GL,3,ACTUAL
4/28/2015,7577,12GL,0,ACTUAL
4/29/2015,7577,12GL,13,ACTUAL
4/30/2015,7577,12GL,0,ACTUAL
5/1/2015,7577,12GL,0,ACTUAL
5/2/2015,7577,12GL,5,ACTUAL
5/3/2015,7577,12GL,7,ACTUAL
5/4/2015,7577,12GL,0,ACTUAL
5/5/2015,7577,12GL,0,ACTUAL
5/6/2015,7577,12GL,0,ACTUAL
